---,x,y
228,"14.560000","5.000000"
229,"14.580000","15.000000"
230,"14.600000","10.000000"
231,"14.620000","10.000000"
232,"14.640000","5.000000"
233,"14.660000","10.000000"
234,"14.680000","5.000000"
235,"14.700000","15.000000"
236,"14.720000","10.000000"
237,"14.740000","15.000000"
238,"14.760000","5.000000"
239,"14.780000","15.000000"
240,"14.800000","10.000000"
241,"14.820000","10.000000"
242,"14.840000","1.000000"
243,"14.860000","5.000000"
244,"14.880000","10.000000"
245,"14.900000","15.000000"
246,"14.920000","15.000000"
247,"14.940000","20.000000"
248,"14.960000","5.000000"
249,"14.980000","10.000000"
250,"15.000000","10.000000"
251,"15.020000","10.000000"
252,"15.040000","5.000000"
253,"15.060000","10.000000"
254,"15.080000","10.000000"
255,"15.100000","10.000000"
256,"15.120000","15.000000"
257,"15.140000","10.000000"
258,"15.160000","10.000000"
259,"15.180000","10.000000"
260,"15.200000","5.000000"
261,"15.220000","20.000000"
262,"15.240000","5.000000"
263,"15.260000","5.000000"
264,"15.280000","10.000000"
265,"15.300000","5.000000"
266,"15.320000","5.000000"
267,"15.340000","10.000000"
268,"15.360000","15.000000"
269,"15.380000","5.000000"
270,"15.400000","10.000000"
271,"15.420000","1.000000"
272,"15.440000","10.000000"
273,"15.460000","15.000000"
274,"15.480000","5.000000"
275,"15.500000","10.000000"
276,"15.520000","25.000000"
277,"15.540000","5.000000"
278,"15.560000","15.000000"
279,"15.580000","1.000000"
280,"15.600000","10.000000"
281,"15.620000","1.000000"
282,"15.640000","20.000000"
283,"15.660000","10.000000"
284,"15.680000","15.000000"
285,"15.700000","15.000000"
286,"15.720000","10.000000"
287,"15.740000","1.000000"
288,"15.760000","5.000000"
289,"15.780000","25.000000"
290,"15.800000","10.000000"
291,"15.820000","10.000000"
292,"15.840000","10.000000"
293,"15.860000","5.000000"
294,"15.880000","10.000000"
295,"15.900000","10.000000"
296,"15.920000","5.000000"
297,"15.940000","5.000000"
298,"15.960000","5.000000"
299,"15.980000","5.000000"
300,"16.000000","5.000000"
301,"16.020000","10.000000"
302,"16.040001","5.000000"
303,"16.059999","5.000000"
304,"16.080000","5.000000"
305,"16.100000","15.000000"
